cell,group in,group out,nuclide,mean,std. dev.
1,1,1,total,0.01367137805242206,9.730967754044594e-07
1,1,2,total,1.3659271944248595e-08,9.119826304407574e-10
1,2,1,total,0.25551518401735557,9.87114735576176e-06
1,2,2,total,1.827530572770615e-07,6.363259548945482e-09
