cell,group in,group out,nuclide,moment,mean,std. dev.
2,1,1,total,P0,5.777270548711705e-05,4.813109816561671e-06
2,1,1,total,P1,9.73523982408108e-06,1.7583959890281509e-06
2,1,2,total,P0,1.3190115408017578e-07,1.3218450428503163e-07
2,1,2,total,P1,-1.0106881817029915e-09,1.0128593431710466e-09
2,2,1,total,P0,0.0,0.0
2,2,1,total,P1,0.0,0.0
2,2,2,total,P0,2.204441041700476e-05,4.1943147114837536e-06
2,2,2,total,P1,1.1975605007321408e-06,1.7632794322240659e-06
