cell,group in,group out,nuclide,moment,mean,std. dev.
4,1,1,total,P0,0.4860913821212102,7.687344495596044e-06
4,1,1,total,P1,0.29024479199508874,5.0323291203611645e-06
4,1,2,total,P0,0.04157130577740138,7.678074604185248e-07
4,1,2,total,P1,0.017895898585653644,4.4985257947620436e-07
4,2,1,total,P0,2.79570031724172e-08,1.5373065428202603e-09
4,2,1,total,P1,2.7928292735676756e-08,1.5359899134555255e-09
4,2,2,total,P0,1.3004033275774967,5.106829589877859e-05
4,2,2,total,P1,0.5231311586042261,1.9397503514470262e-05
