uniform3	3	512	0.0	3	256	2485	full	0.7759666858439261	1049.81341266	26.033247433	561.333352368	316.5289843926167
uniform3	3	512	0.1	3	256	2485	full	0.7765298354652288	1042.538855418	25.712784983	467.138297387	372.8439465228828
uniform3	3	512	0.2	3	256	2485	full	0.7769524647418529	1058.233245491	25.893778194	466.439290235	415.10687418528926
uniform3	3	512	0.5	3	256	2485	full	0.776500968967543	1045.675877963	25.927977736	445.769557717	369.95729675429743
uniform3	3	512	1.0	3	256	2485	full	0.7754782224423162	1042.763838797	25.781748814	451.583347475	267.682644231626
uniform4	4	512	0.0	3	256	4500	full	0.7772361934339137	1046.410582673	65.103903312	1210.648395994	443.47974339137284
uniform4	4	512	0.1	3	256	4500	full	0.7757372789063927	1039.576843627	64.363268655	1013.485452702	293.5882906392684
uniform4	4	512	0.2	3	256	4500	full	0.7767383765984577	1043.683741729	64.094678358	995.634287538	393.6980598457707
uniform4	4	512	0.5	3	256	4500	full	0.7779578887338708	1040.718625426	65.467011976	1005.352705903	515.6492733870865
uniform4	4	512	1.0	3	256	4500	full	0.7781201212175477	1038.451497104	64.153861466	924.555914692	531.8725217547726
uniform5	5	512	0.0	3	256	7123	full	0.7769728230959273	1056.260085486	131.093060057	1909.269208055	417.1427095927327
uniform5	5	512	0.1	3	256	7123	full	0.7760606064243573	1055.055470319	131.252817038	1537.571781328	325.9210424357284
uniform5	5	512	0.2	3	256	7123	full	0.7759872720995862	1054.171330001	132.76334958	1551.827686773	318.5876099586205
uniform5	5	512	0.5	3	256	7123	full	0.77448544294884	1061.929230554	132.908049955	1735.590108345	168.40469488400566
uniform5	5	512	1.0	3	256	7123	full	0.7722780500798784	1058.973836078	132.952784576	1758.99977266	-52.334592012159845
