cell,group in,group out,nuclide,mean,std. dev.
1,1,1,total,0.013877939851325953,8.881478776391187e-07
1,1,2,total,1.5128026497921284e-08,8.659582566359856e-10
1,2,1,total,0.20817983610850552,1.0658856882164791e-05
1,2,2,total,1.596030130467338e-07,5.336030736301311e-09
