cell,group in,group out,nuclide,moment,mean,std. dev.
5,1,1,total,P0,0.5425765136649309,9.759470720571978e-06
5,1,1,total,P1,0.3238992434108419,6.442441565315253e-06
5,1,2,total,P0,0.046780636896750195,8.499756808016918e-07
5,1,2,total,P1,0.020173486359566152,4.695978181130211e-07
5,2,1,total,P0,3.442966203594346e-08,2.0218650010463415e-09
5,2,1,total,P1,3.4395759187959534e-08,2.0196901998845406e-09
5,2,2,total,P0,1.3899207978395478,5.1186123871020836e-05
5,2,2,total,P1,0.5984423911112315,2.167113639446277e-05
