cell,group in,group out,nuclide,moment,mean,std. dev.
2,1,1,total,P0,5.9744482304384814e-05,4.970229727337235e-07
2,1,1,total,P1,1.1213199724370263e-05,2.2737447963650397e-07
2,1,2,total,P0,3.957225202654684e-07,2.3909796062011575e-08
2,1,2,total,P1,-6.328022209987628e-08,1.1549935099309837e-08
2,2,1,total,P0,0.0,0.0
2,2,1,total,P1,0.0,0.0
2,2,2,total,P0,2.1460183851340735e-05,4.3939627141735135e-07
2,2,2,total,P1,3.274870946721012e-06,1.7524939756505406e-07
