cell,group in,group out,nuclide,moment,mean,std. dev.
4,1,1,total,P0,0.48625106648592514,7.800784659521324e-06
4,1,1,total,P1,0.29040374706273697,5.215130714720187e-06
4,1,2,total,P0,0.04192367675842822,7.378134882260548e-07
4,1,2,total,P1,0.01806983289758075,4.375177298366809e-07
4,2,1,total,P0,3.08819411100328e-08,1.64289259895772e-09
4,2,1,total,P1,3.085064129575609e-08,1.6413436421969904e-09
4,2,2,total,P0,1.3014292362456172,5.2778718689846915e-05
4,2,2,total,P1,0.5231471765616867,2.0915881989973906e-05
