cell,group in,group out,nuclide,mean,std. dev.
4,1,1,total,1.0,4.701454113919084e-05
4,1,2,total,1.0,5.2978115131810484e-05
4,2,1,total,1.0,0.29060609347705607
4,2,2,total,1.0,0.0001320222944533881
