cell,group in,group out,nuclide,mean,std. dev.
3,1,1,total,1.0000587077251264,0.00012798015941915223
3,1,2,total,0.9999934141201264,0.003833074002518543
3,2,1,total,0.0,0.0
3,2,2,total,1.0,0.00020933082186556318
