cell,group in,group out,nuclide,moment,mean,std. dev.
4,1,1,total,P0,0.486252882553236,2.528275943388919e-05
4,1,1,total,P1,0.2904066656142845,1.6828409959502135e-05
4,1,2,total,P0,0.04192198191028058,2.2967911713370294e-06
4,1,2,total,P1,0.01806985899144441,1.416705352823126e-06
4,2,1,total,P0,2.225684713067278e-08,4.573549602017127e-09
4,2,1,total,P1,2.2236390544990653e-08,4.569108054387499e-09
4,2,2,total,P0,1.301468490517523,0.00015913561951665683
4,2,2,total,P1,0.5231663968430995,5.986581133318789e-05
