cell,group in,group out,nuclide,mean,std. dev.
1,1,1,total,0.013685531823497262,3.412057044546285e-06
1,1,2,total,1.2662141547684638e-08,3.0343675402427402e-09
1,2,1,total,0.25595278244737685,2.8832024563893503e-05
1,2,2,total,1.6613144840335286e-07,1.8716211592317843e-08
