cell,group in,group out,nuclide,moment,mean,std. dev.
4,1,1,total,P0,0.3160067716416293,1.4129028805468402e-05
4,1,1,total,P1,0.053046979229627124,5.12937223794944e-06
4,1,2,total,P0,0.00028294618839861107,2.3524128318926202e-07
4,1,2,total,P1,-7.485760318751275e-05,1.2660614339003477e-07
4,2,1,total,P0,0.0,0.0
4,2,1,total,P1,0.0,0.0
4,2,2,total,P0,0.29373464226277474,2.2155303338590287e-05
4,2,2,total,P1,0.002157170179178066,8.319166254795263e-06
