cell,group in,group out,nuclide,moment,mean,std. dev.
3,1,1,total,P0,5.979282421049779e-05,5.035078716347835e-07
3,1,1,total,P1,1.1276833037368153e-05,2.1487407591347975e-07
3,1,2,total,P0,4.0108012872043157e-07,2.790323310075095e-08
3,1,2,total,P1,-7.483663606715289e-08,1.3180316879456665e-08
3,2,1,total,P0,0.0,0.0
3,2,1,total,P1,0.0,0.0
3,2,2,total,P0,2.1778013939865383e-05,5.268419379721138e-07
3,2,2,total,P1,3.6304120542496455e-06,2.3800097345821208e-07
