cell,group in,group out,nuclide,mean,std. dev.
1,1,1,total,0.013865153573417083,8.496690079718496e-07
1,1,2,total,1.4527110830383124e-08,7.741203724006979e-10
1,2,1,total,0.20825104221866567,1.081853291395841e-05
1,2,2,total,1.5489986977938084e-07,4.639155325160154e-09
