cell,group in,group out,nuclide,moment,mean,std. dev.
2,1,1,total,P0,0.2725545287682241,8.093523038201269e-05
2,1,1,total,P1,0.038063324468287425,3.9246826548829865e-05
2,1,2,total,P0,0.0011662713505236867,3.74376432132068e-06
2,1,2,total,P1,-0.00033936460216981774,2.2400767078733336e-06
2,2,1,total,P0,0.0,0.0
2,2,1,total,P1,0.0,0.0
2,2,2,total,P0,0.2857761282340411,0.00012187475036760236
2,2,2,total,P1,0.009928280453164679,8.088085294439086e-05
