cell,group in,group out,nuclide,moment,mean,std. dev.
5,1,1,total,P0,0.5424170916928539,9.321617388604251e-06
5,1,1,total,P1,0.323740084530472,6.101909247454531e-06
5,1,2,total,P0,0.04642572607787863,8.626844488518142e-07
5,1,2,total,P1,0.01999739942481682,5.003084187260068e-07
5,2,1,total,P0,3.94818229741764e-08,2.3740003370996224e-09
5,2,1,total,P1,3.944195953355956e-08,2.3712877431511324e-09
5,2,2,total,P0,1.3892989526127089,5.725645635507069e-05
5,2,2,total,P1,0.5984408529622162,2.394068332916257e-05
